symbol,price,timestamp
BTC,58808.69000000,2024-08-20 22:30:05.112581
ETH,2574.23000000,2024-08-20 22:30:05.711594
SOL,142.59000000,2024-08-20 22:30:06.648680
DOGE,0.10290000,2024-08-20 22:30:07.268764
ADA,0.34040000,2024-08-20 22:30:07.892158
BTC,58788.64000000,2024-08-20 22:30:13.432328
ETH,2574.08000000,2024-08-20 22:30:14.014985
SOL,142.58000000,2024-08-20 22:30:14.562753
DOGE,0.10287000,2024-08-20 22:30:15.162337
ADA,0.34030000,2024-08-20 22:30:15.795253
BTC,58762.00000000,2024-08-20 22:30:21.398508
ETH,2572.77000000,2024-08-20 22:30:22.013395
SOL,142.52000000,2024-08-20 22:30:22.561990
DOGE,0.10280000,2024-08-20 22:30:23.114688
ADA,0.34020000,2024-08-20 22:30:23.653841
BTC,58750.00000000,2024-08-20 22:30:29.180948
ETH,2572.74000000,2024-08-20 22:30:29.793275
SOL,142.52000000,2024-08-20 22:30:30.409224
DOGE,0.10278000,2024-08-20 22:30:30.963828
ADA,0.34010000,2024-08-20 22:30:31.519054
BTC,58734.65000000,2024-08-20 22:30:37.055135
ETH,2572.38000000,2024-08-20 22:30:37.583684
SOL,142.50000000,2024-08-20 22:30:38.153897
DOGE,0.10280000,2024-08-20 22:30:38.722126
ADA,0.34000000,2024-08-20 22:30:39.308394
BTC,58718.25000000,2024-08-20 22:30:44.850468
ETH,2571.65000000,2024-08-20 22:30:45.462361
SOL,142.46000000,2024-08-20 22:30:45.990634
DOGE,0.10284000,2024-08-20 22:30:46.518353
ADA,0.34000000,2024-08-20 22:30:47.053273
BTC,58710.27000000,2024-08-20 22:30:52.580302
ETH,2571.33000000,2024-08-20 22:30:53.218824
SOL,142.46000000,2024-08-20 22:30:53.777794
DOGE,0.10282000,2024-08-20 22:30:54.373061
ADA,0.34000000,2024-08-20 22:30:54.922592
BTC,58706.00000000,2024-08-20 22:31:00.433336
ETH,2571.33000000,2024-08-20 22:31:00.996651
SOL,142.44000000,2024-08-20 22:31:01.536343
DOGE,0.10282000,2024-08-20 22:31:02.093441
ADA,0.34000000,2024-08-20 22:31:02.650846
BTC,58718.26000000,2024-08-20 22:31:08.386474
ETH,2571.80000000,2024-08-20 22:31:09.174378
SOL,142.51000000,2024-08-20 22:31:09.747902
DOGE,0.10279000,2024-08-20 22:31:10.302210
ADA,0.34000000,2024-08-20 22:31:10.855190
BTC,58737.77000000,2024-08-20 22:31:16.406561
ETH,2571.68000000,2024-08-20 22:31:16.979027
SOL,142.53000000,2024-08-20 22:31:17.516276
DOGE,0.10277000,2024-08-20 22:31:18.035486
ADA,0.34000000,2024-08-20 22:31:18.543793
BTC,58724.00000000,2024-08-20 22:31:24.058154
ETH,2571.40000000,2024-08-20 22:31:24.790848
SOL,142.52000000,2024-08-20 22:31:25.333326
DOGE,0.10277000,2024-08-20 22:31:25.895465
ADA,0.33990000,2024-08-20 22:31:26.427409
BTC,58737.99000000,2024-08-20 22:31:31.967334
ETH,2571.86000000,2024-08-20 22:31:32.486008
SOL,142.52000000,2024-08-20 22:31:33.075575
DOGE,0.10278000,2024-08-20 22:31:33.609312
ADA,0.34000000,2024-08-20 22:31:34.196424
BTC,58716.00000000,2024-08-20 22:31:40.044724
ETH,2571.62000000,2024-08-20 22:31:40.602353
SOL,142.51000000,2024-08-20 22:31:41.204519
DOGE,0.10277000,2024-08-20 22:31:41.733780
ADA,0.34000000,2024-08-20 22:31:42.299350
BTC,58710.00000000,2024-08-20 22:31:47.923953
ETH,2570.51000000,2024-08-20 22:31:48.486992
SOL,142.48000000,2024-08-20 22:31:49.059600
DOGE,0.10273000,2024-08-20 22:31:49.641261
ADA,0.34000000,2024-08-20 22:31:50.180315
BTC,58702.95000000,2024-08-20 22:31:55.737823
ETH,2570.39000000,2024-08-20 22:31:56.276083
SOL,142.45000000,2024-08-20 22:31:56.813084
DOGE,0.10268000,2024-08-20 22:31:57.408448
ADA,0.34000000,2024-08-20 22:31:57.954848
BTC,58709.68000000,2024-08-20 22:32:03.465825
ETH,2570.49000000,2024-08-20 22:32:04.011135
SOL,142.48000000,2024-08-20 22:32:04.582676
DOGE,0.10268000,2024-08-20 22:32:05.121634
ADA,0.34000000,2024-08-20 22:32:05.683271
BTC,58714.00000000,2024-08-20 22:32:11.378051
ETH,2570.99000000,2024-08-20 22:32:11.901759
SOL,142.54000000,2024-08-20 22:32:12.444618
DOGE,0.10272000,2024-08-20 22:32:13.004202
ADA,0.34040000,2024-08-20 22:32:13.566720
BTC,58714.00000000,2024-08-20 22:32:19.075439
ETH,2570.75000000,2024-08-20 22:32:19.597493
SOL,142.54000000,2024-08-20 22:32:20.115073
DOGE,0.10275000,2024-08-20 22:32:20.622760
ADA,0.34050000,2024-08-20 22:32:21.186334
BTC,58705.91000000,2024-08-20 22:32:26.734545
ETH,2570.76000000,2024-08-20 22:32:27.262127
SOL,142.55000000,2024-08-20 22:32:27.949368
DOGE,0.10273000,2024-08-20 22:32:28.488280
ADA,0.34050000,2024-08-20 22:32:29.093424
BTC,58691.00000000,2024-08-20 22:32:34.617219
ETH,2570.71000000,2024-08-20 22:32:35.135542
SOL,142.55000000,2024-08-20 22:32:35.756213
DOGE,0.10271000,2024-08-20 22:32:36.360652
ADA,0.34050000,2024-08-20 22:32:36.870352
